Column,DataType,Enhanced Description
play_id,float64,Unique identifier for each play in the game. Format: Floating point number.
game_id,object,Unique identifier for each game. Format: String.
old_game_id,int64,"Previous game identifier, possibly from an older system. Format: Integer."
home_team,object,Abbreviation of the team. Format: String.
away_team,object,Abbreviation of the team. Format: String.
season_type,object,"Values are 'REG' for regular season, 'POST' for postseason."
week,int64,Week of the NFL season. Format: Integer.
posteam,object,Possessing team abbreviation. Format: String.
posteam_type,object,"Values are 'home' for home team, 'away' for away team."
defteam,object,Defending team abbreviation. Format: String.
side_of_field,object,Side of the field the team is on. Format: String.
yardline_100,float64,Yard line from the opponent's end zone. Format: Floating point number.
game_date,object,Date of the game. Format: String.
quarter_seconds_remaining,float64,Seconds remaining in the current quarter. Format: Floating point number.
half_seconds_remaining,float64,Seconds remaining in the current half. Format: Floating point number.
game_seconds_remaining,float64,Seconds remaining in the entire game. Format: Floating point number.
game_half,object,"Values are 'Half1' for the first half, 'Half2' for the second half, and 'Overtime' for overtime."
quarter_end,float64,Indicator of whether the play was at the end of the quarter. Format: Floating point number.
drive,float64,Drive number within the game. Format: Floating point number.
sp,float64,"Special play indicator (1 if the play is a special teams play, else 0). Format: Floating point number."
qtr,float64,"Quarter of the game. Values are 1, 2, 3, 4, and 5 for overtime."
down,float64,"Down of the play. Values are 1, 2, 3, or 4."
goal_to_go,int64,"Binary indicator if it's a goal-to-go situation (1 for true, 0 for false). Format: Integer."
time,object,Time on the game clock. Format: String.
yrdln,object,Yard line for the current play. Format: String.
ydstogo,float64,Yards to go for a first down. Format: Floating point number.
ydsnet,float64,Net yards gained in the game so far. Format: Floating point number.
desc,object,Description of the play. Format: String.
play_type,object,"Type of play (e.g., run, pass, kick). Format: String."
yards_gained,float64,Yards gained on the play. Format: Floating point number.
shotgun,float64,"Indicator if the play was from a shotgun formation (1 for true, 0 for false). Format: Floating point number."
no_huddle,float64,"Indicator if the play was a no-huddle play (1 for true, 0 for false). Format: Floating point number."
qb_dropback,float64,"Indicator if the QB dropped back to pass (1 for true, 0 for false). Format: Floating point number."
qb_kneel,float64,"Indicator if the QB kneeled (1 for true, 0 for false). Format: Floating point number."
qb_spike,float64,"Indicator if the QB spiked the ball (1 for true, 0 for false). Format: Floating point number."
qb_scramble,float64,"Indicator if the QB scrambled (1 for true, 0 for false). Format: Floating point number."
pass_length,object,"Length of the pass (short, medium, long). Format: String."
pass_location,object,"Location of the pass (left, middle, right). Format: String."
air_yards,float64,Air yards on the pass. Format: Floating point number.
yards_after_catch,float64,Yards gained after the catch. Format: Floating point number.
run_location,object,"Location of the run (left, middle, right). Format: String."
run_gap,object,"Gap where the run occurred (end, tackle, guard). Format: String."
field_goal_result,object,"Result of the field goal attempt (made, missed, blocked). Format: String."
kick_distance,float64,Distance of the kick. Format: Floating point number.
extra_point_result,object,"Result of the extra point attempt (good, no good, blocked). Format: String."
two_point_conv_result,float64,"Result of the two-point conversion (success, failure). Format: String."
home_timeouts_remaining,float64,Number of timeouts remaining for the home team. Format: Integer.
away_timeouts_remaining,float64,Number of timeouts remaining for the away team. Format: Integer.
timeout,float64,"Indicator if a timeout was called (1 for true, 0 for false). Format: Integer."
timeout_team,object,Team that called the timeout. Format: String.
td_team,object,"Team that scored the touchdown. Example: ""NE"" for New England Patriots."
td_player_name,object,"Name of the player who scored the touchdown. Example: ""Tom Brady""."
td_player_id,object,"Unique identifier for the player who scored the touchdown. Example: ""00-0031234""."
posteam_timeouts_remaining,int64,Number of timeouts remaining for the offensive team.
defteam_timeouts_remaining,int64,Number of timeouts remaining for the defensive team.
total_home_score,int64,Total score for the home team at that point in the game.
total_away_score,int64,Total score for the away team at that point in the game.
posteam_score,int64,Score of the offensive team at that point in the game.
